"Deterioro del valor de derechos de traspaso","Deteriorament del valor de drets de traspàs","2905"
"Deterioro del valor de aplicaciones informáticas","Deteriorament del valor d'aplicacions informàtiques","2906"
"Deterioro del valor del inmovilizado material","Deteriorament del valor de l'immobilitzat material","291"
"Deterioro de valor de terrenos y bienes naturales","Deteriorament de valor de terrenys i béns naturals","2910"
"Deterioro de valor de construcciones","Deteriorament de valor de construccions","2911"
"Deterioro de valor de instalaciones técnicas","Deteriorament de valor d'instal·lacions tècniques","2912"
"Deterioro de valor de maquinaria","Deteriorament de valor de maquinària","2913"
"Deterioro de valor de utillaje","Deteriorament de valor d'utillatge","2914"
"Deterioro de valor de otras instaciones","Deteriorament de valor d'altres instal·lacions","2915"
"Deterioro de valor de mobiliario","Deteriorament de valor de mobiliari","2916"
"Deterioro de valor de equipos para proceso de información","Deteriorament de valor d'equips per a processos d'informació","2917"
"Deterioro de valor de elementos de transporte","Deteriorament de valor d'elements de transport","2918"
"Deterioro de valor de otro inmovilizado material","Deteriorament de valor d'altre immobilitzat material","2919"
"Deterioro de valor de las inversiones inmobiliarias","Deteriorament de valor de les inversions immobiliàries","292"
"Deterioro de valor de los terrenos y bienes naturales","Deteriorament de valor de terrenys i béns naturals","2920"
"Deterioro de valor de construcciones","Deteriorament de valor de construccions","2921"
"Deterioro de valor de participaciones en partes vinculadas","Deteriorament de valor de participacions a llarg termini vinculades","293"
"Deterioro de valor de participaciones en empresas del grupo","Deteriorament de valor de participacions a llarg termini en empreses del grup","2933"
"Deterioro de valor de participaciones en empresas asociadas","Deteriorament de valor de participacions a llarg termini en empreses associades","2934"
"Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","Deteriorament de valor de participacions a llarg termini a altres parts vinculades","2935"
"Deterioro de valor de valores representativos de deuda de partes vinculadas","Deteriorament de valor de valors representatius de deute a llarg termini de parts vinculades","294"
"Deterioro de valor de valores representativos de deuda de empresas del grupo","Deteriorament de valor de valors representatius de deute a llarg termini d'empreses del grup","2943"
"Deterioro de valor de valores representativos de deuda de empresas asociadas","Deteriorament de valor de valors representatius de deute a llarg termini d'empreses associades","2944"
"Deterioro de valor de valores representativos de deuda de otras partes vinculadas","Deteriorament de valor de valors representatius de deute a llarg termini d'altres parts vinculades","2945"
"Deterioro de valor de créditos a partes vinculadas","Deteriorament de valor de crèdits a llarg termini a parts vinculades","295"
"Deterioro de valor de créditos a empresas del grupo","Deteriorament de valor de crèdits a llarg termini a empreses del grup","2953"
"Deterioro de valor de créditos a empresas asociadas","Deteriorament de valor de crèdits a llarg termini a empreses associades","2954"
"Deterioro de valor de créditos a otras partes vinculadas","Deteriorament de valor de crèdits a llarg termini a altres parts vinculades","2955"
"Deterioro de  valor de participaciones en el patrimonio neto a largo plazo","Deteriorament de valor de participacions al patrimoni net a llarg termini","296"
"Deterioro de valor de valores representativos de deuda","Deteriorament de valor de valors representatius de deute a llarg termini","297"
"Deterioro de valor de créditos","Deteriorament de valor de crèdits a llarg termini","298"
"Existencias","Existències","3"
"Comerciales","Comercials","30"
"Mercaderías A","Mercaderies A","300"
"Mercaderías B","Mercaderies B","301"
"Materias Primas","Matèries Primeres","31"
"Materias Primas A","Matèries Primeres A","310"
"Materias Primas B","Matèries Primeres B","311"
"Otros aprovisionamientos","Altres aprovisionaments","32"
"Elementos y conjuntos incorporables","Elements i conjunts incorporables","320"
"Combustibles","Combustibles","321"
"Repuestos","Recanvis","322"
"Materiales diversos","Materials diversos","325"
"Embalajes","Embalatges","326"
"Envases","Envasos","327"
"Material de oficina","Material d'oficina","328"
"Productos en curso","Productes en curs","33"
"Productos en curso A","Productes en curs A.","330"
"Productos en curso B","Productes en curs B","331"
"Productos semiterminados","Productes semiacabats","34"
"Productos semiterminados A","Productes semiacabats A","340"
"Productos semiterminados B","Productes semiacabats B","341"
"Productos terminados","Productes acabats","35"
"Productos terminados A","Productes acabats A","350"
"Productos terminados B","Productes acabats B","351"
"Subproductos, residuos y materiales recuperados","Subproductes, residus i materials recuperats","36"
"Subproductos A","Subproductes A","360"
"Subproductos B","Subproductes B","361"
"Residuos A","Residus A","365"
"Residuos B","Residus B","366"
"Materiales recuperados A","Materials recuperats A","368"
"Materiales recuperados B","Materials recuperats B","369"
"Deterioro de valor de las existencias","Deteriorament de valor de les existències","39"
"Deterioro de valor de las mercaderías","Deteriorament de valor de les existències","390"
"Deterioro de valor de las materias primas","Deteriorament de valor de les matèries primeres","391"
"Deterioro de valor de otros aprovisionamientos","Deteriorament de valor d'altres aprovisionaments","392"
"Deterioro de valor de los productos en curso","Deteriorament de valor dels productes en curs","393"
"Deterioro de valor de los productos semiterminados","Deteriorament de valor dels productes semiacabats","394"
"Deterioro de valor de los productos terminados","Deteriorament de valor dels productes acabats","395"
"Deterioro de valor de los subproductos, residuos y materiales recuperados","Deteriorament de valor dels subproductes, residus i materials recuperats","396"
"Acreedores y deudores por operaciones comerciales","Creditors i deutors per operacions comercials","4"
"Proveedores","Proveïdors","40"
"Proveedores","Proveïdors","400"
"Proveedores (euros)","Proveïdors (euros)","4000"
"Proveedores (moneda extranjera)","Proveïdors (moneda estrangera)","4004"
"Proveedores, facturas pendientes de recibir o de formalizar","Proveïdors, factures pendents de rebre o de formalitzar","4009"
"Proveedores, efectos comerciales a pagar","Proveïdors, efectes comercials a pagar","401"
"Proveedores, empresas del grupo","Proveïdors, empreses del grup","403"
"Proveedores, empresas del grupo (euros)","Proveïdors, empreses del grup (euros)","4030"
"Efectos comerciales a pagar, empresas del grupo","Efectes comercials a pagar, empreses del grup","4031"
"Proveedores, empresas del grupo (moneda extranjera)","Proveïdors, empreses del grup (moneda estrangera)","4034"
"Envases y embalajes a devolver a proveedores, empresas del grupo","Envasos i embalatges a retornar a proveïdors, empreses del grup","4036"
"Proveedores, empresas del grupo, facturas pendientes de recibir o de formalizar","Proveïdors, empreses del grup, factures pendents de rebre o de formalitzar","4039"
"Proveedores, empresas asociadas","Proveïdors, empreses associades","404"
"Proveedores, otras partes vinculadas","Proveïdors, altres parts vinculades","405"
"Envases y embalajes a devolver a proveedores","Envasos i embalatges a retornar a proveïdors","406"
"Anticipos a proveedores","Bestretes a proveïdors","407"
"Acreedores varios","Creditors diversos ","41"
"Acreedores por prestaciones de servicios","Creditors per prestacions de serveis","410"
"Acreedores por prestaciones de servicios (euros)","Creditors per prestacions de serveis (euros)","4100"
"Acreedores por prestaciones de servicios (moneda extranjera)","Creditors per prestacions de serveis (moneda estrangera)","4104"
"Acreedores por prestaciones de servicios, facturas pendientes de recibir o de formalizar","Creditors per prestacions de serveis, factures pendents de rebre o de formalitzar","4109"
"Acreedores, efectos comerciales a pagar","Creditors, efectes comercials a pagar","411"
"Acreedores por operaciones en común","Creditors per operacions en comú","419"
"Clientes","Clients","43"
"Clientes","Clients","430"
"Clientes (euros)","Clients (euros)","4300"
"Clientes (moneda extranjera)","Clients (moneda estrangera)","4304"
"Clientes, facturas pendientes de recibir o de formalizar","Clients, factures pendents  de formalitzar","4309"
"Clientes, efectos comerciales a cobrar","Clients, efectes comercials a cobrar","431"
"Efectos comerciales en cartera","Efectes comercials en cartera","4310"
"Efectos comerciales descontados","Efectes comercials descomptats","4311"
"Efectos comerciales en gestión de cobro","Efectes comercials en gestió de cobrament","4312"
"Efectos comerciales impagados","Efectes comercials impagats","4315"
"Clientes, operaciones de factoring","Clients, operacions de factoring","432"
"Clientes, empresas del grupo","Clients, empreses del grup","433"
"Clientes empresas del grupo (euros)","Clients empreses del grup (euros)","4330"
"Efectos comerciales a cobrar, empresas del grupo","Efectes comercials a cobrar, empreses del grup","4331"
"Clientes empresas del grupo, operaciones de factoring","Clients empreses del grup, operacions de factoring","4332"
"Clientes empresas del grupo (moneda extranjera)","Clients empreses del grup (moneda estrangera)","4334"
"Clientes empresas del grupo de dudoso cobro","Clients empreses del grup de cobrament dubtós ","4336"
"Envases y embalajes a devolver a clientes, empresas del grupo","Envasos i embalatges a retornar a clients, empreses del grup","4337"
"Clientes empresas del grupo, facturas pendientes de formalizar","Clients empreses del grup factures pendents de formalitzar","4339"
"Clientes, empresas asociadas","Clients, empreses associades","434"
"Clientes, otras partes vinculadas","Clients, altres parts vinculades","435"
"Clientes de dudoso cobro","Clients de cobrament dubtós ","436"
"Envases y embalajes a devolver por clientes","Envasos i embalatges a retornar per clients","437"
"Anticipos de clientes","Bestretes de clients","438"
"Deudores varios","Deutors diversos","44"
"Deudores","Deutors","440"
"Deudores (euros)","Deutors (euros)","4400"
"Deudores (moneda extranjera)","Deutors (moneda estrangera)","4404"
"Deudores, facturas pendientes de formalizar","Deutors, factures pendents de formalitzar","4409"
"Deudores, efectos comerciales a cobrar","Deutors, efectes comercials a cobrar","441"
"Deudores, efectos comerciales en cartera","Deutors, efectes comercials en cartera","4410"
"Deudores, efectos comerciales descontados","Deutors, efectes comercials descomptats","4411"
"Deudores, efectos comerciales en gestión de cobro","Deutors, efectes comercials en gestió de cobrament","4412"
"Deudores, efectos comerciales impagados","Deutors, efectes comercials impagats","4415"
"Deudores de dudoso cobro","Deutors de cobrament dubtós ","446"
"Deudores por operaciones en común","Deutors per operacions en comú","449"
"Personal","Personal","46"
"Anticipos de remuneraciones","Bestretes de remuneracions","460"
"Remuneraciones pendientes de pago","Remuneracions pendents de pagament","465"
"Remuneraciones mediante sistemas de aportación definida pendientes de pago","Remuneracions mitjançant sistemes d'aportació definida pendents de pagament","466"
"Administraciones públicas","Administracions públiques","47"
"Hacienda Pública, deudora por diversos conceptos","Hisenda Pública, deutora per diversos conceptes","470"
"Hacienda Pública, deudora por IVA","Hisenda Pública, deutora per IVA","4700"
"Hacienda Pública, deudora por subvenciones concedidas","Hisenda Pública, deutora per subvencions concedides","4708"
"Hacienda Pública, deudora por devolución de impuestos","Hisenda Pública, deutora per devolució d'impostos","4709"
"Organismos de la Seguridad Social, deudores","Organismes de la Seguretat Social, deutora","471"
"Hacienda Pública, IVA soportado","Hisenda Pública, IVA suportat","472"
"Hacienda Pública. IVA soportado 4%","Hisenda Pública. IVA suportat 4%","472004"
"Hacienda Pública. IVA soportado 7%","Hisenda Pública. IVA suportat 7%","472007"
"Hacienda Pública. IVA soportado 8%","Hisenda Pública. IVA suportat 8%","472008"
"Hacienda Pública. IVA soportado 10%","Hisenda Pública. IVA suportat 10%","472010"
"Hacienda Pública. IVA soportado 16%","Hisenda Pública. IVA suportat 16%","472016"
"Hacienda Pública. IVA soportado 18%","Hisenda Pública. IVA suportat 18%","472018"
"Hacienda Pública. IVA soportado 21%","Hisenda Pública. IVA suportat 21%","472021"
"Hacienda Pública. IVA Recargo de Equivalencia 0.5%","Hisenda Pública. IVA Recàrrec d'Equivalència 0.5%","472104"
"Hacienda Pública. IVA Recargo de Equivalencia 1%","Hisenda Pública. IVA Recàrrec d'Equivalència 1%","472108"
"Hacienda Pública. IVA Recargo de Equivalencia 1.4%","Hisenda Pública. IVA Recàrrec d'Equivalència 1.4%","472110"
"Hacienda Pública. IVA Recargo de Equivalencia 4%","Hisenda Pública. IVA Recàrrec d'Equivalència 4%","472118"
"Hacienda Pública. IVA Recargo de Equivalencia 5.2%","Hisenda Pública. IVA Recàrrec d'Equivalència 5.2%","472121"
"Hacienda Pública, retenciones y pagos a cuenta","Hisenda Pública, retencions i pagaments a compte","473"
"Hacienda Pública. Retenciones a cuenta empresarios módulos 1%","Hisenda Pública. Retencions a compte empresaris mòduls 1%","473001"
"Hacienda Pública. Retenciones a cuenta act. agrícolas, ganaderas, forestales 2%","Hisenda Pública. Retencions a compte act. agrícoles, ramaderes, forestals 2%","473002"
"Hacienda Pública. Retenciones a cuenta act. profesionales 7%","Hisenda Pública. Retencions a compte act. professionals 7%","473007"
"Hacienda Pública. Retenciones a cuenta act. profesionales 9%","Hisenda Pública. Retencions a compte act. Professionals 9%","473009"
"Hacienda Pública. Retenciones a cuenta act. profesionales 15%","Hisenda Pública. Retencions a compte act. professionals 15%","473015"
"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 18%","Hisenda Pública. Retencions a compte arrendaments, cap. mobiliari 18%","473018"
"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 19%","Hisenda Pública. Retencions a compte arrendaments, cap. mobiliari 19%","473019"
"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 20%","Hisenda Pública. Retencions a compte arrendaments, cap. Mobiliari 20%","473020"
